capability_id,semantic_family,subject_scope,registry_used,evidence_level,coverage_scope,differential_test_status,context_condition,oracle_backend,executed_vectors,total_vectors,mismatch_found,cleanup_recommendation,evidence_path,evidence_sha256,full_intrinsic_proof
intrinsic:rvv:__riscv_vmul_vx_i32m8:5ace5d3fb6e47d3a,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,698a14a815eebc84addf104d847edfe1c88e13e2f00cd3609bed0927e4b0b562,no
intrinsic:rvv:__riscv_vor_vv_u16m4:cab0f5dc1ee13c8d,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,2cc16e85aee257be8778d4b440a6bb7cf5540cd54dc32e23b7932af2ec431d03,no
intrinsic:rvv:__riscv_vor_vx_u32m8:41c9d7fa90734b49,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,2de27e6144bb76023406e66ee7d75dbf3156431558ece2696dca938f8aede4df,no
intrinsic:rvv:__riscv_vrsub_vx_i16m4:29d480502f69a7e7,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,e4de890ddc6d7a18e4b08207c95d568c77feaead806865a9c1d905ba35ec2bb2,no
intrinsic:rvv:__riscv_vsext_vf2_i16m4:b2617b3c9bec4bed,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,579ba28ec35cf0fb66b286ce5aa4152bdd587d34cf4aef7d21256a80121f86c1,no
intrinsic:rvv:__riscv_vsext_vf2_i32m8:3c312590788bf8d5,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,45780f829df7dc675996c58c32a7767e201d93720ded860bc8995141b0e8b8d5,no
intrinsic:rvv:__riscv_vsub_vx_i16m4:8bb4e4a849134e5b,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,d49a141fe21bfc54aaa8d9103d659bed087c93cd7c3bbe7e5af1d2cbe17b0cad,no
intrinsic:rvv:__riscv_vwmul_vv_i32m8:8d623cefe2771d93,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,111f306bea613e59c684a597dc99897015368e35cf8af99990478e93fbfe766f,no
intrinsic:rvv:__riscv_vwmul_vx_i32m8:5b060cb9b428d699,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,1000c139cd185026fa87ccff95e11d853ac1d67c48da322bb5cf5562df52537a,no
intrinsic:rvv:__riscv_vwsub_vx_i16m4:3a6e8d7faa1217a5,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,99d73952b5a3774d3bf24e1960d446c4d914dddd8f7a013286c8caaeb1147c25,no
intrinsic:rvv:__riscv_vwsubu_vx_u16m4:4e942cbc63658753,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,3faa0d51317f7b2c2527c067f8ab274a0901367ee07a75a190a48f38ea11d637,no
intrinsic:rvv:__riscv_vzext_vf2_u16m4:3a0608d042415fe5,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,b7314fa2b6fe4d5280942866ab354bb284b5da0648c93aa73b941b98c4e824bc,no
